incidentid,weaponcaliber,weapondetails,weapontype
19870210ARDAD,Unknown,,Rifle 
19870213AZORM,Unknown,,Multiple Unknown
19870224NYMON,Unknown,,Handgun
19870302MODED,.45 caliber,,Handgun
19870306TXRIE,,,No Data
19870330CAPAS,Unknown,,Handgun
19870416MIMUD,Unknown,,Handgun
19870430ORGRP,Unknown,,Handgun
19870503INPII,Unknown,,Handgun
19870506ARMAJ,.25 caliber,,Handgun
19870506FLLET,.38 caliber,,Handgun
19870513ILOAO,.25 caliber,,Handgun
19870928ILILL,.22 caliber,,Handgun
19871014ILDUC,Unknown,,Handgun
19871030NCSOK,.22 caliber,,Handgun
19871104MISOD,Unknown,,Handgun
19871114FLCLC,.45 caliber,,Handgun
19871130TXPES,Unknown,,Handgun
19871202FLENJ,.357 caliber,,Handgun
19871204NYEAN,Unknown,,Handgun
19871215NYGRB,,,No Data
19871216TXMAK,.357 caliber,,Handgun
19880105PASPS,Unknown,,Handgun
19880106FLGAT,.357 caliber,,Handgun
19880108PACRM,.32 caliber,,Handgun
19880120LASIR,.357 caliber,,Handgun
19880129TXREA,,,No Data
19880202ALWET,Unknown,,Multiple Unknown
19880211FLPIL,.38 caliber,.38 pistols (both),Handgun
19880211FLPIL,.38 caliber,.38 pistols (both),Handgun
19880226RIBRB,.22 caliber,,Handgun
19880304MILED,,,No Data
19880323CACAS,,,No Data
19880324TXTRA,BB,,Other
19880505ILMAC,.38 caliber,,Handgun
19880516FLFOF,.22 caliber,,Handgun
19880520ILHUW,.357 caliber,,Handgun
19880520ILHUW,.22 caliber,,Handgun
19880520ILHUW,.32 caliber,,Handgun
19880531NYPUB,,,No Data
19880602MSWIJ,.357 caliber,,Handgun
19880617MIJOD,.22 caliber,,Handgun
19880630HIAIO,.38 caliber,,Handgun
19880710WISIM,Submachine gun,,Other
19880711MSLAJ,.22 caliber,,Handgun
19880831MICED,Unknown,,Multiple Handguns
19880831SCWEA,.25 caliber,,Handgun
19880902GAGLA,Unknown,,Handgun
19880902NCGAC,.38 caliber,,Handgun
19880903TXLID,Unknown,,Handgun
19880922ILMOC,.38 caliber,,Handgun
19880926SCOAG,.22 caliber,,Handgun
19881003FLMAM,Unknown,,Rifle
19881004FLJEJ,Unknown,,Handgun
19881004LAISB,,,No Data
19881005MDEDB,Unknown,,Handgun
19881006ALMOM,Unknown,,Handgun
19881007MDSOB,Unknown,,Handgun
19881007TXDIP,.22 caliber,,Handgun
19881101FLPAJ,.25 caliber,,Handgun
19881107UTGLS,.22 caliber,,Handgun
19881122TXABA,.22 caliber,,Handgun
19881216VAATV,9mm,,Handgun
19890105ARHEL,.22 caliber,,Handgun
19890117CACLS,9mm,Taurus PT92 pistol,Handgun
19890117CACLS,.223 caliber,"Semi-auto; Legal purchased AK-47 rifle carved with the words ""freedom"", ""victory"", ""Earthman"", and ""Hezbollah""",Rifle
19890126DCWOW,Unknown,,Handgun
19890210UTTHK,.22 caliber,,Handgun
19890303INWIG,.22 caliber,,Handgun
19890426TXAMD,.22 caliber,,Handgun
19890911AZDYE,.25 caliber,,Handgun
19890918KYJAM,Unknown,,Shotgun
19891005CALOA,Unknown,"Shotgun, pistol",Handgun
19891005CALOA,Unknown,"Shotgun, pistol",Shotgun
19891031TXOLD,BB,,Other
19891113NYALN,.22 caliber,,Handgun
19891115TXWOA,.22 caliber,,Handgun
19891122CACHO,.22 caliber,,Handgun
19891204LACAS,,,No Data
19891205PASEM,.22 caliber,,Handgun
19891205TXWWD,.25 caliber,,Handgun
19891212SCCHC,.45 caliber,,Handgun
19900116RICEP,,,No Data
19900220OHTAC,9mm,,Handgun
19900327NYNEB,.38 caliber,,Handgun
19900403TXSKD,.25 caliber,,Handgun
19900504CAMOE,Unknown,,Handgun
19900520TNHIC,,,No Data
